"Target","Source","n","Weight"
"","ajklato",1,1
"","andysugs",7,7
"","bathomat617",1,1
"","canwecancan",1,1
"","carolinecoramuk",1,1
"","chatttylady",1,1
"","craigballsy",1,1
"","cwtchcaerdydd",1,1
"","dimmosgeeknd",2,2
"","dontdenythe",1,1
"","edusupplyuk",1,1
"","felix_ninelives",60,60
"","gate8_cfc",1,1
"","huntedteamnick",1,1
"","james___ga",2,2
"","mamlesi",1,1
"","maxendah",3,3
"","mellittlej",1,1
"","missingsnowman",1,1
"","poppyoflondon",4,4
"","radfax",1,1
"","realnewsuk",3,3
"","redundantuk",1,1
"","sam_lmfao",1,1
"","sirbrexitfarage",1,1
"","sitewideuk",1,1
"","smombiegate",2,2
"","sub4subhome",19,19
"","sukyspook",4,4
"","thehighway2ai",1,1
"","theprophetv",2,2
"","tonyjwillett",1,1
"","weeshady1",1,1
"","wolffeedsfox",1,1
" #5g #5gkills #5gtowers #coronahoax #covid19hoax things like 5g implementation is what is getting us sick this is not a viral pathogen. #radiation learn about 5g tech and its harmful effects on plant, animal & human cells #eugenics #elites #5grollout #5gison #5gmindcontrol https","j_kulcha77",2,2
" #5g judicial review just needs another £5,500 to get started. this is our chance to challenge the government for not protecting our health from #electromagnetic radiation. please rt. https","gillraewalker",1,1
" #5g pcb #covid19 board video is a fake! why on earth would a board going into 5g towers have a scart connector from the 1980s??? #coronahoax https","smombiegate",1,1
" 1","shoutout_uk",1,1
" 2","shoutout_uk",1,1
" a lot of fake news and misinformation going around, it's difficult to separate the truth from what's false. ⠀ our ceo, @jamalkazient recently spoke with @rt_com uk news about the links between 5g and the coronavirus pandemic. https","kazientprivacy",1,1
" a lot of fake news and misinformation going around, it's difficult to separate the truth from what's false. ⠀ our ceo, @jamalkazient recently spoke with rt uk news about the links between 5g and the coronavirus pandemic. ⠀ https","kazientprivacy",2,2
" are you doing for 5g? ... amdocs president and ceo shuky sheffer virtual fireside chat on the industry’s biggest concerns today","damiensaunders",1,1
" believe @eamonnholmes paranoid rant on telly about how #covid19 might be caused by #5g telephone masts and that the #msm was controlled by the state... dangerous lunatic! how's he still got a job on anything but infowars or rt???? https","robldavidson",1,1
" did someone say 5g?! another hot topic this year in the travel technology sphere. our partners over at @ttw_ezine have outlined ways in how 5g augmented tourism has made virtual tours popular. #traveltechnology #5g #virtualtours https","travel_forward_",1,1
" happening this week #5g with @rtpi_london @ldn_gov @rtpiplanners #plantalk @centreforlondon @futureofldn @udlondon book your webinar place now...https","rtpi_london",1,1
" happening with week #5g with @rtpi_london @rtpiplanners #plantalk @centreforlondon @futureofldn @udlondon https","samerbagaeen",1,1
" is the truth about 5g and coronavirus? with a lot of fake misinformation going around, our ceo @jamalkazient was recently interviewed by @rt_com uk news to shed light on the facts. watch the interview","kazientprivacy",1,1
" is your chance to fight back on #5g! michael mansfield to lead a team demanding a response from government on its failure to protect the public from the proven risks to health from #emfs and 5g. please donate and rt. go to https","gillraewalker",1,1
" of additions to #the5gdaily today - including ⁦@samsung⁩ ⁦@ericssonnetwork⁩ #truecorp #rtr from ⁦@totaltelecom⁩ #5g #patents #regulation https","robdchambers",1,1
" on everyone! i know there is another important review challenging the governnment for not protecting our health from #electromagnetic radiation. but they need to be challenged at least twice. not far to go! please rt this one and support it! #5g https","gillraewalker",1,1
" see top rttv vid (not mainrt/msmvids) #pierscorbyn speakerscorner 30may asks what was #cummings really up-to? #barnardcastlegate, #gsk-vax+#5g. that's what they don't want you to know! then swift arrest piers+others. saveit *shareit* #standupx https","piers_corbyn",1,1
" to connect the dots people! #ccp #huawei #5g #wuhan #covid in short, china wants to rule the world and they will try any means to do so full movie","selenophilia66",1,1
" up for @rtpi_london @rtpiplanners #plantalk @ldn_gov to hear me talk about #5g #planning next week https","samerbagaeen",1,1
" vid is live guys! ▶️ https","ggg_by_lia",2,2
" vid is live! ▶️ https","ggg_by_lia",1,1
" year real wireless worked with austrian regular rtr as they prepared for their #5g auction. read about how the process resulted in an investment-friendly framework here","real_wireless",1,1
" youtube links in the comments, subscribe to everyone who posts. comment done when subbed. rt like comment ✅. post links now !#smallstreamersconnect #supportsmallstreamers #stream #streamers #smallyoutuberarmy #smallyoutuber #5g反対 #youtube #twitch #snapchatdown #streamer https","sub4subhome",1,1
"_andreacutter","lmjohnson25",1,1
"_andreaurbanfox","adrian___jones",1,1
"_andreaurbanfox","fuck0ffee",1,1
"_arianagrindr","_arianagrindr",2,2
"_asifbhat_","andrewmorrisuk",1,1
"_asifbhat_","kjkirby",1,1
"_brexitjohnson","pxkdweezil",1,1
"_chancer_","_chancer_",1,1
"_chancer_","52kii",1,1
"_chancer_","gasigiant",1,1
"_chancer_","janetbutlermale",1,1
"_chancer_","kizzy14195362",1,1
"_chancer_","roberts6658",1,1
"_chancer_","sasha4940",1,1
"_farooqumar","corizance",1,1
"_farooqumar","lazybot6",1,1
"_farooqumar","milano_sara1",1,1
"_farooqumar","sajidmirza",2,2
"_farooqumar","seyraud",2,2
"_faultline_","autoairuk",1,1
"_faultline_","rethinkresearch",1,1
"_humaniam_","mwlifecoaching",1,1
"_michal_hynek","userexperienceu",1,1
"_migueljaimes69","chuxley4368",1,1
"_migueljaimes69","dannymc81024043",1,1
"_redtyneside","dutch85169",1,1
"_rogame","uzzi38",1,1
"_ryangleeson","blackpoolcomedy",1,1
"_ryangleeson","bplcomedyclub",1,1
"_techmode","beveve",6,6
"_techmode","grattonboy",2,2
"_techmode","grattongirl",2,2
"_techmode","linkmobilityuk",1,1
"_techmode","theinfluencers_",2,2
"_techmode","userexperienceu",1,1
"'your homes your schools your areas are turning into microwave ovens. this technology goes through cars, homes, everything, except trees. everything will be connected with the name smart smart meters, phones, tv, electric cars, computers.' subscriber https","joeom4",1,1
"@bbcbusiness","emmbrookbuseco",1,1
"@candymedusa","exxhibition",1,1
"@iotbusinessnews","brumelectrician",1,1
"@techmarketview","shanebrighton",1,1
"#5g meet the low- #latency needs of #autonomousvehicles? https","karimraffa",1,1
"#5gkills #5gcoronavirus #5gtowers #5gradiation #5gnetwork #5gvirus #vaccines #antivaxxers #antivax #eugenics #racism #populationcontrol #georgiaguidestones #thevoiceofjkulcha #covid19 #coronavirus prt1 https","j_kulcha77",1,1
"#5gkills #5gcoronavirus #5gtowers #5gradiation #5gnetwork #5gvirus #vaccines #antivaxxers #antivax #eugenics #racism #populationcontrol #georgiaguidestones #thevoiceofjkulcha #covid19 #coronavirus prt2 https","j_kulcha77",1,1
"#covid19 #coronavirus #uk #5gkills #5guk if we are only doing essential work then why is these 5g poles still being worked on. how important they must be... really makes me wonder why https","mrspock2020",1,1
"#lockdownuknow #covid19 @rickyaross people going into meltdown social media self medicating etc has cabin fever set in?there is another way, tap into your creative #goodself you won’t be disappointed enjoy and if you do please rt 💚 https","stephenpmccabe",1,1
"#lockdownuknow #covid19 @rickyaross people going into meltdown social media self medicating etc has cabin fever set in?there is another way, tap into your creative #goodself you won’t be disappointed enjoy and if you do please rt 💚🙏 https","stephenpmccabe",1,1
"01_dmb","philipingmbe",1,1
"0drat","0drat",1,1
"0mranderson2","paulinelancas18",1,1
"0ut0fmany0ne","eileen49",1,1
"1_drop_of_q","deeupton57",1,1
"1000gig_","comadore_",1,1
"14autumns","realjackoh187",1,1
"165halsey","ronniedas11",1,1
"16millionrising","16millionrising",1,1
"16millionrising","russglos",1,1
"17emeraldroses","7ootep",1,1
"17emeraldroses","tinalstephenson",1,1
"1970robd","andyparmo",1,1
"1970robd","fattybacon",1,1
"1970robd","jaytuvz",1,1
"1970robd","neilwrightlegal",1,1
"1970robd","newlattelarrys",1,1
"1bjdj","8pack2themax",1,1
"1bjdj","anisankhan",1,1
"1bjdj","ask_mrs_h",1,1
"1bjdj","authorwritereb",1,1
"1bjdj","charlesvickers",1,1
"1bjdj","com14veli",1,1
"1bjdj","courtgambla",1,1
"1bjdj","crislamb4",1,1
"1bjdj","deanforbes94",1,1
"1bjdj","deenmoe",1,1
"1bjdj","devil_mick",1,1
"1bjdj","dsj51",1,1
"1bjdj","ezob_",1,1
"1bjdj","fijaz01",1,1
"1bjdj","ftblfaize",1,1
"1bjdj","huutchy",1,1
"1bjdj","jadakaialix",1,1
"1bjdj","jahan_001",1,1
"1bjdj","jordy21389",1,1
"1bjdj","kairokeyz",1,1
"1bjdj","miafallonxo",1,1
"1bjdj","mo_sami786",1,1
"1bjdj","morgansquest",1,1
"1bjdj","oba_soulflex",1,1
"1bjdj","p67444",1,1
"1bjdj","pissoffeu",1,1
"1bjdj","pxkdweezil",1,1
"1bjdj","rajacobs8",1,1
"1bjdj","realrobalisious",1,1
"1bjdj","rhysjeffs",1,1
"1bjdj","simarkuk",1,1
"1bjdj","truemanc123",1,1
"1bjdj","twittalk2",1,1
"1bjdj","upminstergirl",1,1
"1bjdj","yankeedemocrat",1,1
"1naasty","alfababe111",1,1
"1naasty","andrewdakemp",1,1
"1naasty","antonyb12755522",1,1
"1naasty","ascensiqn",1,1
"1naasty","brenben2",1,1
"1naasty","carldevitt",1,1
"1naasty","casperbricks",1,1
"1naasty","cj_kearn",1,1
"1naasty","dazharmer",1,1
"1naasty","dghdavies",1,1
"1naasty","djballistixx",1,1
"1naasty","eyezropen",1,1
"1naasty","gibb491",2,2
"1naasty","gtuckz",1,1
"1naasty","helenhaynes63",1,1
"1naasty","hillclime",2,2
"1naasty","jamesgidcumb",1,1
"1naasty","jamiemichs9",1,1
"1naasty","jeannieatcf",1,1
"1naasty","jenninemorgan",2,2
"1naasty","karoolatas",3,3
"1naasty","katyjo123",2,2
"1naasty","keithkaith",1,1
"1naasty","lastnailstandin",1,1
"1naasty","libertyiab",1,1
"1naasty","linnyt86",1,1
"1naasty","mccabe1984",1,1
"1naasty","mickbradley1978",1,1
"1naasty","mrdiddy85",1,1
"1naasty","mwengway72",1,1
"1naasty","nedjohnson45",1,1
"1naasty","ohnoyoudont6",1,1
"1naasty","paddyq2020",3,3
"1naasty","palmerbird5",1,1
"1naasty","patrickjustq",1,1
"1naasty","rotoiti17",1,1
"1naasty","sgrannap",2,2
"1naasty","stanwelsh",1,1
"1naasty","suzanne79079523",1,1
"1naasty","tanya47927230",1,1
"1naasty","vibrations111",1,1
"1naasty","willwat14922206",1,1
"1naasty","wwg1wga_17_45",9,9
"1naasty","yorkshireqrose",1,1
"1ord_lucan","antfoll8",1,1
"1russellp","casildaokan",1,1
"1russellp","francescabagnal",1,1
"1russellp","zoeljohnston",1,1
"2013boodicca","__trulo__",1,1
"2013boodicca","_inthistogether",1,1
"2013boodicca","0_sum_game",1,1
"2013boodicca","1984wasfiction",2,2
"2013boodicca","2013boodicca",61,61
"2013boodicca","8pack2themax",1,1
"2013boodicca","abigail14_28",1,1
"2013boodicca","adamx8",1,1
"2013boodicca","agency4africa",4,4
"2013boodicca","agobsmack",7,7
"2013boodicca","alan_lingwood",1,1
"2013boodicca","alecr1952",1,1
"2013boodicca","angiebabie2009",1,1
"2013boodicca","apple_matt",1,1
"2013boodicca","aspiemum",1,1
"2013boodicca","balfourdog",1,1
"2013boodicca","beddoeroger",2,2
"2013boodicca","bee42681881",1,1
"2013boodicca","beevans56",1,1
"2013boodicca","berniclrk",11,11
"2013boodicca","bill_weightman",1,1
"2013boodicca","billykane0",1,1
"2013boodicca","bimarchservices",1,1
"2013boodicca","bluebell2201",7,7
"2013boodicca","bmd19015926",1,1
"2013boodicca","bobtd30",1,1
"2013boodicca","bojinovalex",1,1
"2013boodicca","bornequal310120",1,1
"2013boodicca","bornlondoner",1,1
"2013boodicca","brett8240",1,1
"2013boodicca","briannacelegill",7,7
"2013boodicca","bristolbeing",3,3
"2013boodicca","carldevitt",24,24
"2013boodicca","carolinecoramuk",1,1
"2013boodicca","charlotte3003g",2,2
"2013boodicca","chequeredflag3",1,1
"2013boodicca","chris022004",1,1
"2013boodicca","cindyalderman5",1,1
"2013boodicca","cloudcuckoospit",1,1
"2013boodicca","cole_davesc66",4,4
"2013boodicca","comsleer",1,1
"2013boodicca","cosmicslop12",1,1
"2013boodicca","crislamb4",1,1
"2013boodicca","cristine_foster",1,1
"2013boodicca","dantomlom2",4,4
"2013boodicca","dave_daveglucas",5,5
"2013boodicca","davenicholas555",1,1
"2013boodicca","david74715383",1,1
"2013boodicca","davidbent1948",1,1
"2013boodicca","davidhawker17",1,1
"2013boodicca","davidmacveigh",1,1
"2013boodicca","dawngo18",3,3
"2013boodicca","dazharmer",13,13
"2013boodicca","derekhewson",1,1
"2013boodicca","dghdavies",1,1
"2013boodicca","dhboughton",1,1
"2013boodicca","discono909",1,1
"2013boodicca","djballistixx",1,1
"2013boodicca","djkeithlawrence",1,1
"2013boodicca","dominic_putney",1,1
"2013boodicca","drmatthewhardy",1,1
"2013boodicca","dt_deb",1,1
"2013boodicca","duckbird3",1,1
"2013boodicca","duckspoken",1,1
