"Target","Source","n","Weight"
"2013boodicca","brucenottinghil",1,1
"2013boodicca","carldevitt",7,7
"2013boodicca","charlotte3003g",1,1
"2013boodicca","cheryl48943188",1,1
"2013boodicca","christinadonn11",1,1
"2013boodicca","dantomlom2",3,3
"2013boodicca","davidlevescont1",1,1
"2013boodicca","fjs18almond",1,1
"2013boodicca","freegaza2010",2,2
"2013boodicca","gmseed_t",1,1
"2013boodicca","griff399",1,1
"2013boodicca","hypocricyrules",1,1
"2013boodicca","ianhilpus",1,1
"2013boodicca","janeteddy22",1,1
"2013boodicca","jay_eddo",1,1
"2013boodicca","jofortune8",1,1
"2013boodicca","jordiarjo",4,4
"2013boodicca","keithwmacdonal1",1,1
"2013boodicca","ko19700",1,1
"2013boodicca","mabel19841",1,1
"2013boodicca","milesmbennett1",1,1
"2013boodicca","no_god_jimbo",1,1
"2013boodicca","peaceofcotton",1,1
"2013boodicca","peterba82304711",1,1
"2013boodicca","poetblue",7,7
"2013boodicca","pxkdweezil",2,2
"2013boodicca","reeev0",1,1
"2013boodicca","rockyj900",1,1
"2013boodicca","seahaze55",2,2
"2013boodicca","seobelfastni",1,1
"2013boodicca","si_or_just_si",1,1
"2013boodicca","sirsonnif",1,1
"2013boodicca","skidrowradio_yt",1,1
"2013boodicca","slimbad92",1,1
"2013boodicca","socialhousingco",1,1
"2013boodicca","spoilpartygames",1,1
"2013boodicca","sukyspook",1,1
"2013boodicca","theprophetv",1,1
"2013boodicca","twilouhom",2,2
"2013boodicca","valkyrie20201",1,1
"21wire","andyoval",1,1
"21wire","condefucius",1,1
"21wire","djsiri",1,1
"21wire","dopeynortherner",1,1
"21wire","freegaza2010",1,1
"21wire","peterpobjecky",1,1
"21wire","pxkdweezil",1,1
"21wire","realdavidcarter",1,1
"21wire","tony_mac2017",1,1
"21wire","trickyshaw",1,1
"24k","userexperienceu",1,1
"24kmedia","andrewmorrisuk",6,6
"24kmedia","daviddoughty",1,1
"24kmedia","gurgling_mrd",1,1
"24kmedia","securityxtv",5,5
"24kmedia","technofactr",1,1
"24kmedia","telensa",2,2
"24kmedia","userexperienceu",1,1
"2basetech","flexquare",1,1
"2basetech","pushukpromotion",1,1
"2morrowknight","arlenenewbigg",1,1
"2morrowknight","dinisguarda",1,1
"2morrowknight","fashionabc_",1,1
"2morrowknight","figmentagency",1,1
"2morrowknight","filmsdna_",1,1
"2morrowknight","loracommunity",1,1
"2morrowknight","ly_ro",1,1
"2morrowknight","mtech_w",1,1
