"Target","Source"
"qblueskyq","angelah08745929"
"striving4zennyc","zeropoint618"
"striving4zennyc","zeropoint618"
"lotusoak2","keithba24613451"
"tissuesolutions","stranglemole"
"newroflo","loriblue6"
"va_shiva","roblwilson"
"beachmilk","yousufkhan29"
"qblueskyq","nash64607571"
"va_shiva","inittowinit47"
"nisaac86","blank_ism"
"99freemind","keithba24613451"
"newroflo","nictis74"
"lotusoak2","fihel"
"gurchrandhawa","briteeth"
"ukcpi","hvm_catapult"
"99freemind","markbickerdike"
"bristoluncover","russ_jago"
"qblueskyq","spikey9990_1"
"drewblevins77","robjoshua10"
"bariatric_doc","zahertoumi"
"drthomaspaul","centhyp"
"beachmilk","lisafrideborg"
"lotusoak2","andrewmorrisuk"
"drquinn4realz","picornavirusb"
"99freemind","jenninemorgan"
"beachmilk","xroddas"
"fitzinfo","karadja_rou"
"99freemind","jamesmcb44"
"qblueskyq","jasonplain"
"peterhotez","j_bloodworth"
"qblueskyq","lollylulubes"
"beachmilk","robal4uk"
"vaccinologist","ebiomedicine"
"germageddoncom","111118org"
"chrisbrexitwto","chrisbrexitwto"
"lotusoak2","ayeshasyasin"
"maraki378","juandan"
"bristoluncover","adrianmulholla1"
"bob_mabenasa","cressentiaa"
"bristoluncover","rpancost"
"cherylgay001","rmchurches"
"pukmis","johnaalogan"
"angiekemm","rmchurches"
"va_shiva","andrewc96221084"
"peterhotez","timbarnsley1"
"en_germany","nome_noone"
"rkhamsi","witwag"
"qblueskyq","mikerestorer"
"uffekihlstrom","lisafrideborg"
"royalkingrio","lisafrideborg"
"qblueskyq","paulscotland5"
"va_shiva","samlittlebear"
"physorg_com","artkeiter"
"bristoluncover","mandyrandall65"
"beachmilk","whiterabbitlane"
"iambiotech","iyush07"
"lotusoak2","elymodmarc"
"lotusoak2","jamesba10030643"
"lotusoak2","elymodmarc"
"lotusoak2","andrewmorrisuk"
"vanessaab13","wonderfulwwilso"
"lotusoak2","andrewmorrisuk"
"beachmilk","therightstuff13"
"lotusoak2","keithba24613451"
"lotusoak2","andrewmorrisuk"
"afunnyvalentine","rollonbrexit"
"lotusoak2","maxmedieval"
"drdiggipodcast","diggiada"
"qblueskyq","1984andrew1984"
"lotusoak2","keithba24613451"
"lotusoak2","keithba24613451"
"researchdiarie5","mariasharif_"
"and_kell","surekha0707"
"lotusoak2","esq_marck"
"the_realtruth18","twilouhom"
"lotusoak2","kathy40036059"
"dontdregmebro","healthylondonuk"
"lotusoak2","keithba24613451"
"pukmis","dr_rohenkapur"
"lotusoak2","kheatherbrown"
"lotusoak2","royhull1"
"the_realtruth18","ciolfilicious1"
"govcanhealth","nancyhowett"
"thefullscope","ukopinions"
"the_realtruth18","janet_cutts"
"the_realtruth18","turandot2016"
"sdishman2","asanderson197"
"adulterousnudes","dickstormgh"
"adulterousnudes","dickstormgh"
"lotusoak2","scarlet099"
"lotusoak2","scarlet099"
"beavanshayne","sdumas1"
"qblueskyq","3catsandelaine"
"lotusoak2","ovni1969"
"trueblb","granshoabm"
"genbio","xmegaxpikachu02"
"lotusoak2","hillclime"
"lotusoak2","hillclime"
"beachmilk","jenninemorgan"
"libertytarian","imcevoy1"
"qblueskyq","royhunter5"
"ladyredwave","nigelfinlay5"
"and_kell","scarab237"
"daisy_sells","mymace1"
"lotusoak2","johnburdett20"
"janegang","berniclrk"
"janegang","berniclrk"
"lotusoak2","maxmedieval"
"lotusoak2","johnburdett20"
"lotusoak2","royhull1"
"lotusoak2","p3t3rmr0z"
"5stocksinto","jacobussystems"
"lotusoak2","goneinawhisper"
"ajwasahi","docgamester"
"genbio","sorenstirling"
"lotusoak2","johnburdett20"
"lotusoak2","johnburdett20"
"lotusoak2","johnburdett20"
"qblueskyq","silvia18936387"
"the_realtruth18","mapperz75"
"lotusoak2","johnburdett20"
"lotusoak2","goneinawhisper"
"lotusoak2","goneinawhisper"
"lotusoak2","johnburdett20"
"lotusoak2","johnburdett20"
"tropicalmedmdpi","evidencerobot"
"lotusoak2","prancinghound"
"lotusoak2","hillclime"
"genbio","roslynbraun31"
"razarumi","upsydaisy010"
"marietropf","pxkdweezil"
"the_realtruth18","davcol1"
"qblueskyq","pxkdweezil"
"lotusoak2","jg_simpson"
"lotusoak2","jg_simpson"
"erlhel","jenninemorgan"
"ngranati","einsteinsattic"
"awalkerip","talkingtech_cc"
"balaji_sandiego","dinisguarda"
" ag barr 🥇 the first politician who has signaled discomfort with @billgates evil #vaccine agenda. to buy, sell, travel & work, every human on earth will be forced to take a digital, implanted id to ‘prove’ #covidー19 inoculation. hell on earth @borisjohnson @conservatives https","mannysinder"
"lotusoak2","markvaccines"
"lotusoak2","markvaccines"
"lotusoak2","royhull1"
"lotusoak2","royhull1"
"lotusoak2","hillclime"
"lotusoak2","jamesba10030643"
"tuckfwitter20","tornadonewslink"
"espidsociety","intchildhealth"
"_atanas_","philrandal"
"beachmilk","jackie1974m"
"beachmilk","level45"
"djvcity","davina_elgazzar"
"_atanas_","jakub_lonsky"
"pirbright_inst","squashedlumps"
"va_shiva","squashedlumps"
"catherineadenle","careeremporium"
"beachmilk","katecar84611017"
"smombiegate","stranger_smith"
"smombiegate","justweemary"
"lotusoak2","royhull1"
"lotusoak2","royhull1"
"tlavagabond","cheryl48943188"
"peterhotez","j_bloodworth"
"dixie4alberta","ganderian"
"libertytarian","claire312005"
"peterhotez","djsantero"
"peterhotez","shaun_xl5"
"smombiegate","darren_coxon"
"lotusoak2","prancinghound"
"lotusoak2","prancinghound"
"peterhotez","westernopin1"
"lotusoak2","royhull1"
"lotusoak2","centhyp"
"joanofamerica","ilslandlee"
"lotusoak2","smombiegate"
"beachmilk","redtreasure"
"chimerazero","s0nny_days"
"va_shiva","quintongodsell"
"lotusoak2","centhyp"
"lotusoak2","centhyp"
"lotusoak2","centhyp"
"lotusoak2","centhyp"
"lotusoak2","centhyp"
"lotusoak2","centhyp"
"lotusoak2","centhyp"
"lotusoak2","centhyp"
"lotusoak2","andrewmorrisuk"
"stand4prestrump","balthropsusan"
"lotusoak2","ovni1969"
"beachmilk","elliotttootone1"
"foncillasadrian","mcrv_99"
"_chancer_","gasigiant"
"and_kell","andrewmorrisuk"
"lotusoak2","margare25683010"
"lotusoak2","spoilpartygames"
"liamholtlab","leannetancred"
"smombiegate","smombiegate"
"janegang","berniclrk"
"thegricd","blaze_vivi"
"peterhotez","moulla"
"innocent_makua","_iamharold"
"qblueskyq","samurzo"
"nativeantigen","nativeantigen"
"nativeantigen","nativeantigen"
"and_kell","tthoughtshifter"
"lotusoak2","andrewmorrisuk"
"lotusoak2","andrewmorrisuk"
"christalkstoyou","6thchakrablu"
"libertytarian","ste7e7"
"lotusoak2","ovni1969"
"saalaar","kawani2019"
"va_shiva","akujimc"
"bishoplgaiters","keithba24613451"
"rita_banerji","goosedancer"
"kristianharstad","kristianharstad"
"lotusoak2","keithba24613451"
"fredros_inc","chinito_colapso"
"scrippsresearch","susansm81601742"
"scrippsresearch","susansm81601742"
"dietheartnews","crofty7437"
" months, ~100,000 people are dead due to #covid19. no safe drugs to treat it. no #vaccine on the horizon to protect you from it one therapy works","profasifahmed"
"qblueskyq","ava70h"
"dietheartnews","5pctcarbs"
"profasifahmed","hasanpatel"
"liz727","funmusicuk"
"liz727","funmusicuk"
"liz727","andrewmorrisuk"
"liz727","andrewmorrisuk"
"pharmareview","hapa_uk"
"redpop86","rad_sv"
"cobrabiologics","x4joe"
"chngin_the_wrld","kat_arney"
"jodixu","gemmarooney10"
"fredros_inc","helengrayibclc"
"realdonaldtrump","neil78218433"
"cognisant2000","crazybigboy1"
"cognisant2000","crazybigboy1"
"prometh99591875","shadowwarrior30"
"the_realtruth18","davidariley1"
"cognisant2000","johnjoh60210099"
"cognisant2000","johnjoh60210099"
"cognisant2000","johnjoh60210099"
"cognisant2000","johnjoh60210099"
"tweeriepie","willwat14922206"
"ctforceofficial","shabirkam"
"bengthojer","lisafrideborg"
"realdonaldtrump","andrewmorrisuk"
"realdonaldtrump","andrewmorrisuk"
"realdonaldtrump","andrewmorrisuk"
"cognisant2000","shadyplantscom"
"cognisant2000","shadyplantscom"
"cognisant2000","lockdowntvuk"
"cognisant2000","lockdowntvuk"
"justsaynope","lockdowntvuk"
"justsaynope","lockdowntvuk"
"dietheartnews","paultraining"
"fortrussnews","richywilshire"
"foolsmultiply","iaincampbell008"
"paleorecipeteam","iqbalblund"
"fortrussnews","djsiri"
"smcmenemin","rad_sv"
"fortrussnews","nosmond121"
"trumprallynews","khanbrexit"
"hmcbrexit","joeom4"
"stgeorgesuni","hoopercarwyn"
"lotusoak2","keithba24613451"
"realdonaldtrump","cheltenhamlady"
"realdonaldtrump","cheltenhamlady"
"lotusoak2","johnburdett20"
"joanofamerica","dogcats5"
"twistbioscience","halsin"
"fortrussnews","jamesckearns"
"fortrussnews","jamesckearns"
"gi_jedi","suzylock63"
"qblueskyq","marten_clark"
"fullmeasurenews","bloody_scandal"
"lotusoak2","ovni1969"
"libertytarian","mikerestorer"
"fortrussnews","lisafrideborg"
"utobym","v_ravichander"
"lotusoak2","johnburdett20"
"va_shiva","wilhelm30777462"
"gimom69","lisafrideborg"
"lotusoak2","andrewmorrisuk"
"lotusoak2","johnburdett20"
"lotusoak2","johnburdett20"
"ibddoc","carollread"
"libertytarian","smokey2060"
"mel0ntwist","andrewmorrisuk"
"dietheartnews","didaws313"
"libertytarian","jenninemorgan"
"qblueskyq","haddon_gail"
"smcmenemin","phil_boles"
"helenebedford","helenebedford"
"lotusoak2","venus6951"
"fullmeasurenews","andrewmorrisuk"
"arcadianancy","lisafrideborg"
"lotusoak2","esq_marck"
"lotusoak2","airdriedsausage"
"lotusoak2","airdriedsausage"
"microbesinfect","kellyclelland1"
"evankirstel","andyleates"
"beachmilk","lynnmark6"
"and_kell","jenninemorgan"
"securitymag","mdssecuritysys"
"ukonstrings","iam_laura9"
"lotusoak2","royhull1"
"libertytarian","bloody_scandal"
"lotusoak2","_a133m"
"foolsmultiply","iaincampbell008"
"edrormba","pytheasthe"
"thedivepodcast","zionastrelitz"
"smcmenemin","bratfudrecusant"
"thedivepodcast","zionastrelitz"
"helenebedford","lizwwyld"
"lotusoak2","andrewmorrisuk"
"peterhotez","roisinlynchsdlp"
"bobbyblaxelrod","lisafrideborg"
"foolsmultiply","iaincampbell008"
"lotusoak2","kheatherbrown"
"libertytarian","tthoughtshifter"
"helenebedford","naomibe44702921"
"realcharliec_","realcharliec_"
"qblueskyq","mitchiepoo46"
"qblueskyq","mitchiepoo46"
"qblueskyq","mitchiepoo46"
"qblueskyq","mitchiepoo46"
"qblueskyq","mitchiepoo46"
"qblueskyq","mitchiepoo46"
"qblueskyq","mitchiepoo46"
"qblueskyq","mitchiepoo46"
"qblueskyq","mitchiepoo46"
"sheenaparish","airdriedsausage"
"lotusoak2","johnburdett20"
"lotusoak2","johnburdett20"
"pharaoh_aten_","ghettopundit2"
"va_shiva","stephenbatters9"
"drthomaspaul","ashalrathore1"
"drthomaspaul","pxkdweezil"
"lotusoak2","maxmedieval"
"bhatiaumej","robhudsonphoto"
"smcmenemin","hendreyw"
"lotusoak2","ovni1969"
"lotusoak2","kheatherbrown"
"arrow_dog1","johnaalogan"
"eileeniorio","shamanicnights"
"afro_crypto","dee45490051"
"astrolunachick","dee45490051"
"lotusoak2","barbara_jupp"
"fredros_inc","greginkenya"
"k12lioness","kittenmule888"
"lotusoak2","barbara_jupp"
"lotusoak2","barbara_jupp"
"lotusoak2","barbara_jupp"
"lotusoak2","philiprichards5"
"lotusoak2","johnburdett20"
"chinadaily","heintje_han"
"busydrt","indigowellnessc"
"lotusoak2","hillclime"
"lotusoak2","maxmedieval"
"lotusoak2","tinalstephenson"
"lotusoak2","johnburdett20"
"lotusoak2","johnburdett20"
"lotusoak2","johnburdett20"
"lotusoak2","maxmedieval"
"lotusoak2","ste_blackparent"
"and_kell","epsunburst"
"irmaschiffers","dayth869"
"viku1111","eyeofprovenance"
"beachmilk","clohessy_mark"
"qblueskyq","laferrieretrina"
"sheenaparish","menabster"
"beachmilk","paulryan06"
"lozza61","laferrieretrina"
"angelojohngage","menabster"
"qblueskyq","paulshore"
"boggyluuuu","lisafrideborg"
"and_kell","jgriffin2004"
"and_kell","djsiri"
"lotusoak2","chrissysrants"
"peterhotez","fp_farhad"
"lotusoak2","jamesba10030643"
"beachmilk","portraitinflesh"
"lotusoak2","markvaccines"
"lotusoak2","markvaccines"
"lotusoak2","markvaccines"
"beachmilk","petebutterjelly"
"beachmilk","cryptchopper"
"agentorangeddr","the_magpies_"
"beachmilk","pureferret"
"beachmilk","jim_cornelius"
"preciousliberty","mikerestorer"
"sjvanders","maxcroser"
"beachmilk","johnaylott2"
"_chancer_","tv_hiec_chair"
"lotusoak2","jamesfearon10"
"jes1003","marylavencam"
"beachmilk","rpm94563597"
"lotusoak2","dghdavies"
"sallykp","ovni1969"
"beachmilk","xrpress"
"beachmilk","introvert_dave"
"lotusoak2","keithba24613451"
"lotusoak2","keithba24613451"
"lotusoak2","keithba24613451"
"smombiegate","smombiegate"
"mahirsardar606","adriansalter315"
"profkatieewer","cathyolive"
"lotusoak2","sam_sambuca"
"qblueskyq","myfreedomnews"
"lotusoak2","lynnebailey"
"profkatieewer","craigpthomp"
"drthomaspaul","benstonemason"
"lotusoak2","dghdavies"
"qblueskyq","dcreesy"
"profkatieewer","thedejennerate"
"msdintheuk","leannetancred"
"foolsmultiply","freegaza2010"
"foolsmultiply","freegaza2010"
"lotusoak2","keithba24613451"
"lotusoak2","keithba24613451"
"lotusoak2","keithba24613451"
"lotusoak2","missingsnowman"
"lotusoak2","sam_sambuca"
"lotusoak2","ovni1969"
"lotusoak2","missingsnowman"
"sjvanders","bluegod"
"lotusoak2","keithba24613451"
"lotusoak2","keithba24613451"
"lotusoak2","jamesba10030643"
"lotusoak2","ovni1969"
"jilderness","tornadonewslink"
"99freemind","tornadonewslink"
"lotusoak2","indy4scot"
"lotusoak2","ovni1969"
"lotusoak2","ovni1969"
"tlavagabond","rpromitzer"
"panaxxa","nickyc7475"
"lotusoak2","andrewmorrisuk"
"lotusoak2","keithba24613451"
"lotusoak2","keithba24613451"
"warnuse","andrewmorrisuk"
"lotusoak2","ovni1969"
"lotusoak2","ovni1969"
"beachmilk","leonieraw"
"lotusoak2","andrewmorrisuk"
"ukcpi","catapult_uk"
"thandojo","greigo_uk"
"wordofbeak","kheatherbrown"
"beachmilk","waleed_s121"
"qblueskyq","bubakush777"
"lotusoak2","royhull1"
"lotusoak2","ovni1969"
"beachmilk","charliemansell"
"lotusoak2","lovecarssussex"
"americangrit365","paulscotland5"
"dailymailuk","freddsays"
"tornadonewslink","shoostreet"
"nisaac86","ann31236488"
"beachmilk","jarriesam"
"cardio20","serindelaunay"
"lotusoak2","oscurapraetoria"
"peterbonda007","ajbond007"
"hillaryclinton","crusaderanon1"
"hillaryclinton","jamesba10030643"
"helenebedford","gpnsnn"
"germageddoncom","robooptical"
"peterhotez","dipakamin01"
"rectitude20","andrewmorrisuk"
"beachmilk","gadriye"
"tbart - #coronavirus #vaccine may be developed by september, says oxford professor https","my_amigouk"
"profkatieewer","rodnash2001"
"kenlunkins","kennyjnr1"
"lotusoak2","yo2kris"
"warnuse","andrewmorrisuk"
"eufre","bha_taylor"
"va_shiva","tired1967"
"lotusoak2","woolybully67"
"lotusoak2","ovni1969"
"lotusoak2","royhull1"
"beachmilk","dankaszeta"
"lotusoak2","my90dayfatloss"
"germageddoncom","loseyourglasses"
"qblueskyq","karoolatas"
"lotusoak2","royhull1"
"lotusoak2","andrewmorrisuk"
"lotusoak2","candtalan"
"paleorecipeteam","james_enslaved"
"lotusoak2","atters68"
"lotusoak2","maxmedieval"
"laurie_garrett","minnie_jax"
"dna_rna_uni","drsaudalzahran1"
"lotusoak2","margzter"
"thedanyisaac","andrewmorrisuk"
"beachmilk","graeme_from_it"
"wwa_awareness","lwhite10262"
"germageddoncom","couldyouloveme1"
"lotusoak2","gino68b"
"indmediagroup","mysouthend"
"moonfluencer","bluebelluk"
"germageddoncom","mydreamsfulfil"
"and_kell","andrewmorrisuk"
"indmediagroup","worthingsocial"
"lotusoak2","kathy40036059"
"germageddoncom","robospecs"
"germageddoncom","spexnow"
"jlljasmin","adsellars"
"notyour28981739","sarah69_sarah"
"lotusoak2","johnburdett20"
"lotusoak2","kheatherbrown"
"tornadonewslink","dessyarkle"
"jlljasmin","lclabour"
"cheekyoziechick","tornadonewslink"
"lotusoak2","slimbad92"
"bobbyblaxelrod","tornadonewslink"
"realericcarmen","jonthe17th"
"lotusoak2","adeyspadey"
"lotusoak2","trodinho"
"realericcarmen","dcreesy"
"realericcarmen","everlys333"
"lotusoak2","royhull1"
"theoxfordtrust","jesslifeblog"
"tlavagabond","prophetscotland"
"libertytarian","belinda555777"
"lotusoak2","_a133m"
"lotusoak2","dannybrooker5"
"lotusoak2","opar714"
"lotusoak2","writerbob5"
"libertytarian","ripyouanewone"
"natasjayonce","dcreesy"
"lotusoak2","margare25683010"
"realericcarmen","bornlondoner"
"lotusoak2","royhull1"
"realericcarmen","erincampbell8"
"eileeniorio","petzzzz"
"realericcarmen","kazzystevens"
"jlljasmin","controversialll"
"lotusoak2","margare25683010"
"aoecoin","matthew46409248"
"aoecoin","matthew46409248"
"beachmilk","rpm94563597"
"realericcarmen","alexsmi45550378"
"realericcarmen","albion_rover"
"lotusoak2","kheatherbrown"
"lotusoak2","imcevoy1"
"lotusoak2","mmp303143307"
"lotusoak2","diane_320msncom"
"realericcarmen","imchaffie"
"realericcarmen","paddingtonboor"
"lotusoak2","imchaffie"
"lotusoak2","imchaffie"
"libertytarian","ste7e7"
"camillatominey","grahamhiscott"
"lotusoak2","a1word"
"camillatominey","colin899dean"
"profkatieewer","adamjohnritchie"
"realericcarmen","wetwinter1"
"camillatominey","shippers999"
"lotusoak2","mikerestorer"
"realericcarmen","sgegs"
"lotusoak2","andrewmorrisuk"
"lotusoak2","muzza103crypto"
"_whiterabbitt_","crusaderanon1"
"jachattha","andygw"
"camillatominey","charliebeckett"
"realericcarmen","bags_vinny"
"lotusoak2","crusaderanon1"
"lotusoak2","bags_vinny"
"matrixprime_","gatordadsteve"
"lotusoak2","royhull1"
"realericcarmen","cherylannfox"
"zzxyxy","theunsilentmaj3"
"realericcarmen","sassycitygal"
"lotusoak2","esq_marck"
"lotusoak2","esq_marck"
"the_newarab","annadocshepherd"
"oxtweets","oxfordstadium"
"jlljasmin","ozge_onay_"
"aoecoin","sally26"
"lotusoak2","royhull1"
"lotusoak2","royhull1"
"tlotlisom_","johnaalogan"
"matrixprime_","hutchyy92"
"mungomouthpiece","jenninemorgan"
"greenmike16","pam30301"
"lotusoak2","kheatherbrown"
"chemicalscience","dbudhadev2"
"lotusoak2","kheatherbrown"
"briangpowell","keithba24613451"
"lotusoak2","keithba24613451"
"lotusoak2","kheatherbrown"
"lotusoak2","keithba24613451"
"va_shiva","evelyneherbin"
"smombiegate","betterinsides"
"lotusoak2","keithba24613451"
"seer_media","mehrnooshk"
"lotusoak2","royhull1"
"libertytarian","stevano_b"
"rhandzistoavenu","less_thoughts"
"libertytarian","betterinsides"
"lotusoak2","ovni1969"
"notyour28981739","ovni1969"
"jerusalem_post","george_tr0"
"va_shiva","biker_freedom"
"martijnrasser","ngrcolosimo"
"lotusoak2","royhull1"
"qblueskyq","bobtd30"
"jerusalem_post","ermis_jesus"
"jerusalem_post","tiinawilder"
"edrormba","saeed4_s"
"lotusoak2","johnburdett20"
"futureghost14","ovni1969"
"moira_leisy","tommyconnelly15"
"qblueskyq","tom_tom78"
"cloudnician","draconi38171654"
"qblueskyq","sandyfishgirl"
"chimerazero","kirovclass80s"
"lotusoak2","hillclime"
"dietheartnews","angrypaleodoc"
"lotusoak2","tinalstephenson"
"jerusalem_post","clarissima5"
"va_shiva","inadisguise"
"va_shiva","esmelaw7"
"lotusoak2","royhull1"
"lotusoak2","royhull1"
"epochtimes","fredfromflorida"
"busydrt","billpittsjr"
"lotusoak2","13randyrabbits"
"busydrt","indigowellnessc"
"christinecc16","indigowellnessc"
"lotusoak2","johnburdett20"
"elerianm","zeidan_mh"
"realericcarmen","jackie_cr"
"futureghost14","mummygirl"
"elleprovocateur","steve09278255"
"elleprovocateur","steve09278255"
"va_shiva","keithba24613451"
"realericcarmen","johnrobgalloway"
"realericcarmen","mum2oneblog"
"elleprovocateur","wirral_innit"
"elleprovocateur","wirral_innit"
"elleprovocateur","wirral_innit"
"notyour28981739","carldevitt"
"beachmilk","plane2thet"
"realericcarmen","mills16dean"
"lotusoak2","carldevitt"
"va_shiva","nickyc7475"
"realericcarmen","zuts_you_know"
"realericcarmen","ellen0891"
"rhandzistoavenu","bandana7ooo"
"realericcarmen","theresistanceen"
"va_shiva","unityisstrengt5"
"theclasslessco","missmavalous"
"realericcarmen","missmavalous"
"bnp_bexley","iandella4"
"beachmilk","pinkfox56"
"realericcarmen","basedbedfdshire"
"thescepticaldoc","rosewind2007"
"va_shiva","nedpamphilon"
"deraltegaukler","s0nny_days"
"lotusoak2","markvaccines"
"lotusoak2","markvaccines"
"lotusoak2","markvaccines"
"lotusoak2","markvaccines"
"lotusoak2","markvaccines"
"lotusoak2","bluebelluk"
"lotusoak2","keithba24613451"
"globaltimesnews","nome_noone"
"lotusoak2","keithba24613451"
"va_shiva","mumearthc"
"lotusoak2","keithba24613451"
"lotusoak2","imchaffie"
"va_shiva","zenlove9"
"lotusoak2","keithba24613451"
"va_shiva","maxkarakozov"
"realericcarmen","eyezropen"
"lotusoak2","imchaffie"
"poons21","paleocanteen"
"aoecoin","jamesba10030643"
"lotusoak2","plane2thet"
"lotusoak2","steve09278255"
"indiadst","keaneideals"
"va_shiva","iain528"
"nigeltwitt","sbdrysdale"
"notyour28981739","colemanpete"
"lotusoak2","keithba24613451"
"lotusoak2","keithba24613451"
"realericcarmen","engliscman"
"tornadonewslink","mikerestorer"
"nigeltwitt","drharish_nair"
"fringe_fitchick","ferrigankelly"
"fringe_fitchick","bryan38832926"
"elerianm","mattgrayc64"
"chimerazero","condefucius"
"_chancer_","_chancer_"
"globaltimesnews","scott_goldie"
"rosewind2007","rosewind2007"
"dragonsoul9fire","nosmond121"
"myfreedomnews","myfreedomnews"
"michaelcoudrey","pxkdweezil"
"signorinalora","cj_kearn"
"michaelcoudrey","paulbarker11"
"aoecoin","goonercreed"
"catherineadenle","careeremporium"
"thomasgongs","christo82406026"
"realericcarmen","tat2kaz"
"rosewind2007","rosewind2007"
"va_shiva","paultraining"
"beachmilk","anthony88462881"
"charlotte3003g","owlsfanswfc"
"charlotte3003g","salemmatadi"
"va_shiva","owlsfanswfc"
"va_shiva","owlsfanswfc"
"charlotte3003g","houmuss"
"kailightbringer","daniithealiien"
"charlotte3003g","justmebeingme4"
"charlotte3003g","illdefinedpromo"
"charlotte3003g","faisalla7if"
"charlotte3003g","phillipsbarrie"
"lotusoak2","keithba24613451"
"kailightbringer","bowdon76"
"charlotte3003g","eu_boff_now"
"trancecyber3636","justbementalist"
"nickrinjani","nickrinjani"
"charlotte3003g","lifestyle_medic"
"fringe_fitchick","zephyraina"
"fringe_fitchick","reallyugly007"
"kurtisssprosser","bibz_14"
"futureghost14","annbywater"
"charlotte3003g","harrow1984"
"charlotte3003g","muhammada_07"
"fringe_fitchick","lesleylyon5"
"fortrussnews","gracegiftofgod"
"charlotte3003g","naza733"
"charlotte3003g","monkeylikestea"
"charlotte3003g","thecrushedbones"
"charlotte3003g","loughlin_conor"
"nigeltwitt","lizwwyld"
"kailightbringer","twittalk2"
"germageddoncom","robokabcom"
"and_kell","darrenearle2"
"billgates makes a vaccine, it'll need updating every now and then. anyone who dies will turn blue first, and text errors will appear in their eyes. imagine the horror","jackthroughlife"
"michaelcoudrey","annbywater"
"charlotte3003g","maurlind"
"charlotte3003g","planb1975"
"charlotte3003g","wovenworlds1"
"realericcarmen","kinkydirtybitch"
"charlotte3003g","_bigwave_"
"charlotte3003g","adriann62729285"
"charlotte3003g","booksvcigs"
"futureghost14","sharontaylor373"
"charlotte3003g","tthoughtshifter"
"charlotte3003g","bamberxerxes"
"charlotte3003g","cathymcrorie"
"charlotte3003g","tangotony"
"lotusoak2","ovni1969"
"charlotte3003g","george_leonte"
"charlotte3003g","athanasiusii"
"charlotte3003g","dylanstrain"
"fortrussnews","wetwinter1"
"charlotte3003g","floranray"
"lotusoak2","ovni1969"
"lotusoak2","ovni1969"
"charlotte3003g","thedevonstg"
"charlotte3003g","chillock2"
"fringe_fitchick","serena_x0x0"
"lotusoak2","indy4scot"
"lotusoak2","indy4scot"
"peterhotez","thatbuckguy"
"charlotte3003g","healthylondonuk"
"charlotte3003g","leedslovingdaz"
"va_shiva","rachofclapham"
"charlotte3003g","abari1979"
"charlotte3003g","elizabe41995072"
"lotusoak2","kinkydirtybitch"
"charlotte3003g","atomicbetty143"
"charlotte3003g","berniclrk"
"charlotte3003g","joeom4"
"va_shiva","jamesgidcumb"
"charlotte3003g","hopeenglish12"
"charlotte3003g","philgreaves01"
"lizziekay444","berniclrk"
"charlotte3003g","hopesperance"
"euphrosene","berniclrk"
"charlotte3003g","scarlet099"
"lotusoak2","ukipmemberwales"
"lotusoak2","ovni1969"
"profkarolsikora","angiebuk"
"va_shiva","katecar84611017"
"va_shiva","katecar84611017"
"elvischinedu12","jiggli"
"charlotte3003g","minimojo00"
"charlotte3003g","stephen888wtf"
"charlotte3003g","pxkdweezil"
"fringe_fitchick","anacomc"
"charlotte3003g","theroccov"
"charlotte3003g","samillaiee"
"charlotte3003g","ste75reds"
"charlotte3003g","tonyseymour"
"charlotte3003g","fifiguinee"
"fringe_fitchick","swampjumper17"
"epochtimes","owlsfanswfc"
"charlotte3003g","vinisha_98"
"sheenaparish","iceni_rising"
"camillatominey","meldavisnoe"
"lotusoak2","andrewmorrisuk"
"charlotte3003g","samtobias10"
"charlotte3003g","bearmaxtrading"
"charlotte3003g","ahmed12b_"
"nigeltwitt","gpollara"
"lotusoak2","chrisc51205"
"epochtimes","agobsmack"
"wise_krispies","alankey64316364"
"epochtimes","hendreyw"
"biometricupdate","celestite66"
"charlotte3003g","bgnafi_"
"charlotte3003g","ovni1969"
"charlotte3003g","citywidegas"
"blackimmortal","smithtarquin"
"charlotte3003g","canwecancan"
"fortrussnews","alexsmi45550378"
"immunesuper","ovni1969"
"immunesuper","ovni1969"
"and_kell","bloody_scandal"
"charlotte3003g","zola_64"
"charlotte3003g","oatsnbarley"
"charlotte3003g","mediumdebyould"
"blackimmortal","johntrafalgar5"
"katyjane001","katyjane001"
"charlotte3003g","jacquishimidzu"
"katyjane001","gboylandjkd"
"lotusoak2","svearwig"
"lotusoak2","svearwig"
"epochtimes","elizabethcav07"
"katyjane001","ashokjdattani"
"charlotte3003g","cryptogee"
"katyjane001","teyatheelf"
"sheenaparish","woldslinx"
"katyjane001","musselle_nick"
"fortrussnews","lisafrideborg"
"blackimmortal","lynn_taylor503"
"elleprovocateur","spacettf"
"elleprovocateur","spacettf"
"charlotte3003g","charlotte3003g"
"elleprovocateur","spacettf"
"charlotte3003g","nmj25"
"presscoreca","alcona23"
"katyjane001","greynomatter"
"nxzsxe","tchitauro"
"lotusoak2","smilingtreefarm"
"charlotte3003g","jowinde"
"charlotte3003g","annelaird15"
"realericcarmen","souza81"
"katyjane001","loughlin_conor"
"charlotte3003g","clintcambuur"
"katyjane001","peterharris567"
"lotusoak2","royhull1"
"lotusoak2","royhull1"
"charlotte3003g","time4heroes84"
"fullspectruma","matt9bedford"
"charlotte3003g","miss_flutterbyx"
"eyedropmedia","kjhare9"
"lotusoak2","plane2thet"
"lotusoak2","plane2thet"
"lotusoak2","kathy40036059"
"lotusoak2","kathy40036059"
"erlhel","jenninemorgan"
