"Target","Source","n","Weight"
"","clare09536763",1,1
"","piers_corbyn",1,1
"_jamesalderman","matthew_p_ward",1,1
"_push_report1","biker_freedom",1,1
"_push_report1","secretnstrange9",1,1
"0ctoberreignz","norfolkinway",1,1
"100kriss_ade","courtkneel",1,1
"10sballs_com","ringham7",1,1
"2ndfor1st","sistakenya",1,1
"99freemind","ferrigankelly",1,1
"abcmanaged","abcmanaged",1,1
"afbrat_71","joeom4",1,1
"ajaypandey__","bharatp1",1,1
"akashtyagi4811","purmahv",1,1
"alexwitzleben","dickwinchester",1,1
"alexwitzleben","gordon1000",1,1
"alfonzocortez4","beaglebenn",1,1
"alfonzocortez4","imchaffie",1,1
"alternegyllc","jenninemorgan",1,1
"amazingreality","vacancies_bot",8,8
"americanabearv2","saraboschijones",1,1
"analuciaalves_","phillipsbarrie",1,1
"andrevandelft","indianagrammie",2,2
"andrevandelft","yeoldelovespre1",1,1
"andweknow","a_ostation",1,1
"andweknow","angelah08745929",2,2
"andweknow","apsychicsthoug1",1,1
"andweknow","beddoeroger",1,1
"andweknow","cayley_t",1,1
"andweknow","chrisc51205",1,1
"andweknow","courageouskriss",2,2
"andweknow","joebell88578674",1,1
"andweknow","julieo16514643",1,1
"andweknow","pantyanimal",1,1
"andweknow","redinva",1,1
"andweknow","tiggnine",1,1
"andweknow","willwat14922206",1,1
"angelwarrior321","cocosensualsusy",1,1
"angelwarrior321","darcybbc",1,1
"angelwarrior321","didiertweets",1,1
"angelwarrior321","dojo50113598",1,1
"angelwarrior321","geanalyst",1,1
"angelwarrior321","googdenis",1,1
"angelwarrior321","lolaboris77",1,1
"angelwarrior321","maryann74435279",1,1
"angelwarrior321","mn2apatriot357",1,1
"angelwarrior321","mwengway72",1,1
"angelwarrior321","obliviousreaper",1,1
"angelwarrior321","olly65ram",1,1
"angelwarrior321","paulscotland5",1,1
"angelwarrior321","pompeyhelen1",1,1
"angelwarrior321","reallyugly007",1,1
"angelwarrior321","secretnstrange9",1,1
"angelwarrior321","simlou20",1,1
"angelwarrior321","spiceboy0071",1,1
"angelwarrior321","spikey9990_1",1,1
"angelwarrior321","theunsilentmaj3",1,1
"anuptiwari","bernardrossmc",1,1
"anuptiwari","r0b_shaw",1,1
"aoecoin","devildad1",1,1
"aoecoin","justys70",1,1
"aoteh","aoteh",1,1
"aoteh","folanski",1,1
"aoteh","mcezeh1",1,1
"aoteh","monibhachu",1,1
"aoteh","oxfordaba",1,1
"asimahrai","ruhithc",1,1
"at_lighthouse","impranav007",1,1
"avicheque","malikaebartani",1,1
"awaawardsuk","sukkisingapora",1,1
"bandooh_chla","bradley_fisk",1,1
"bandooh_chla","gilli5",1,1
"bandooh_chla","indianagrammie",1,1
"bandooh_chla","sassycitygal",1,1
"banneddotvideo","paulscotland5",1,1
"barrydeutsch","crstry",1,1
"barrydeutsch","lucalbio",1,1
"bbcbaxter","kikuboutique",1,1
"bbcbaxter","sukkisingapora",1,1
"bbcbreaking","fullerstephart",1,1
"bbcbreaking","nickristiansens",1,1
"beachmilk","stephenius",1,1
"beingbrankod","daveyb_50609",1,1
"beingbrankod","dutch85169",1,1
"betheplan","apsychicsthoug1",1,1
"betheplan","aulettodiane",1,1
"betheplan","begumchacha",1,1
"betheplan","bestime2balive",1,1
"betheplan","bigmikem11",1,1
"betheplan","castielemma",1,1
"betheplan","cheltenhamlady",1,1
"betheplan","chrisc51205",1,1
"betheplan","claviclclavicl",1,1
"betheplan","damian78123284",1,1
"betheplan","demongza",1,1
"betheplan","forza_fergie",1,1
"betheplan","gibb491",1,1
"betheplan","gloco",1,1
"betheplan","guy4good_69",1,1
"betheplan","hillclime",1,1
"betheplan","ioniqman",1,1
"betheplan","jackimacca",1,1
"betheplan","jasonplain",1,1
"betheplan","john1717",1,1
"betheplan","johnfra76927790",1,1
"betheplan","margare25683010",1,1
"betheplan","matthewwarren77",1,1
"betheplan","mccabe1984",1,1
"betheplan","micha171",1,1
"betheplan","mikecross53",1,1
"betheplan","mwengway72",1,1
"betheplan","myfanwy_72",1,1
"betheplan","myrie80391569",1,1
"betheplan","nogods7",1,1
"betheplan","notme1957",1,1
"betheplan","pashaz969",1,1
"betheplan","phelps_jojo",1,1
"betheplan","pinkavis",1,1
"betheplan","polymniasavva",1,1
"betheplan","rabnsfb",1,1
"betheplan","samurzo",1,1
"betheplan","signnamehere1",1,1
"betheplan","simonrhodes74",1,1
"betheplan","tat2kaz",1,1
"betheplan","theagenda6",1,1
"betheplan","vincentszarzyns",1,1
"betheplan","wwg1wga_17_45",1,1
"betheplan","zoompad",1,1
"betsygquammen","justys70",1,1
"billgates","_inthistogether",1,1
"billgates","alobhin",1,1
"billgates","brettboltanski",1,1
"billgates","freegaza2010",1,1
"billgates","galewoo41521620",1,1
"billgates","gengh60",1,1
"billgates","iamfrankbutcher",1,1
"billgates","jasoncl93635797",1,1
"billgates","johndjasper",1,1
"billgates","jordiarjo",1,1
"billgates","peterpobjecky",1,1
"billgates","tappylappy",1,1
"billysigudla","owenrikhotso89",1,1
